question_id,dataset_source,task_complexity,complexity_score,acc_per_1k_tokens_adaptive,acc_per_1k_tokens_single-agent,acc_per_1k_tokens_static_multi-agent,is_correct_adaptive,is_correct_single-agent,is_correct_static_multi-agent,routing_decision_adaptive,routing_decision_single-agent,routing_decision_static_multi-agent,token_cost_adaptive,token_cost_single-agent,token_cost_static_multi-agent
DDXPLUS_71930,DDXPlus,Complex,0.5067,0.0,1.4948,0.2222,0,1,1,group-2,solo,group-3,2488,669,4500
DDXPLUS_719496,DDXPlus,Complex,0.778,0.1976,1.0482,0.1976,1,1,1,group-3,solo,group-3,5061,954,5061
DDXPLUS_720720,DDXPlus,Complex,0.79,0.1908,1.1198,0.1908,1,1,1,group-3,solo,group-3,5241,893,5241
DDXPLUS_721335,DDXPlus,Moderate,0.2134,4.5455,4.5455,0.3137,1,1,1,solo,solo,group-3,220,220,3188
DDXPLUS_721872,DDXPlus,Complex,0.6347,0.2027,1.0834,0.2027,1,1,1,group-3,solo,group-3,4934,923,4934
DDXPLUS_722316,DDXPlus,Complex,0.6181,0.2194,1.2484,0.2194,1,1,1,group-3,solo,group-3,4557,801,4557
DDXPLUS_722542,DDXPlus,Complex,0.796,0.1889,1.0215,0.1889,1,1,1,group-3,solo,group-3,5295,979,5295
DDXPLUS_722736,DDXPlus,Moderate,0.2917,1.5015,1.5015,0.2631,1,1,1,solo,solo,group-3,666,666,3801
DDXPLUS_723405,DDXPlus,Complex,0.4367,0.4266,1.3459,0.2355,1,1,1,group-2,solo,group-3,2344,743,4247
DDXPLUS_725597,DDXPlus,Complex,0.39,1.6529,1.6529,0.0,1,1,0,solo,solo,group-3,605,605,4157
DDXPLUS_726435,DDXPlus,Complex,0.3686,1.8975,1.8975,0.2477,1,1,1,solo,solo,group-3,527,527,4037
DDXPLUS_72681,DDXPlus,Complex,0.772,0.2037,1.4205,0.2037,1,1,1,group-3,solo,group-3,4909,704,4909
DDXPLUS_726827,DDXPlus,Complex,0.4368,0.0,2.3474,0.2602,0,1,1,group-2,solo,group-3,2114,426,3843
DDXPLUS_727338,DDXPlus,Complex,0.702,0.0,1.0893,0.0,0,1,0,group-3,solo,group-3,4917,918,4917
DDXPLUS_727646,DDXPlus,Moderate,0.1483,3.2573,3.2573,0.3092,1,1,1,solo,solo,group-3,307,307,3234
DDXPLUS_727856,DDXPlus,Complex,0.3752,0.0,0.0,0.0,0,0,0,solo,solo,group-3,380,380,3867
DDXPLUS_728908,DDXPlus,Complex,0.3781,1.9268,1.9268,0.2704,1,1,1,solo,solo,group-3,519,519,3698
DDXPLUS_729022,DDXPlus,Moderate,0.1194,6.8027,6.8027,0.3265,1,1,1,solo,solo,group-3,147,147,3063
